mean,mean5,mean95,model,round,sem
0.018650304726003084,0.01666509464037394,0.020635514811632227,mode_21,1.0,0.0010097132329705371
0.05153252524772469,0.046197890858386305,0.056867159637063076,mode_21,2.0,0.0027064095791678395
0.01224618569072926,0.010482608375305227,0.014009763006153293,mode_21,3.0,0.0008949393615666547
0.012202691247590778,0.011678630679379945,0.01272675181580161,mode_21,7.0,0.000267197400881049
0.009544668672672802,0.009064580244347085,0.010024757100998519,mode_21,8.0,0.0002447553121170969
0.018261340690415295,0.017440835607631194,0.019081845773199397,mode_21,9.0,0.0004183353801876084
0.016620971447704157,0.015254570588126772,0.017987372307281542,mode_21,12.0,0.0006957773740646069
0.018650304726003084,0.01666509464037394,0.020635514811632227,mode_22,1.0,0.0010097132329705371
0.05153252524772469,0.046197890858386305,0.056867159637063076,mode_22,2.0,0.0027064095791678395
0.01224618569072926,0.010482608375305227,0.014009763006153293,mode_22,3.0,0.0008949393615666547
0.012202691247590778,0.011678630679379945,0.01272675181580161,mode_22,7.0,0.000267197400881049
0.009544668672672802,0.009064580244347085,0.010024757100998519,mode_22,8.0,0.0002447553121170969
0.018261340690415295,0.017440835607631194,0.019081845773199397,mode_22,9.0,0.0004183353801876084
0.016620971447704157,0.015254570588126772,0.017987372307281542,mode_22,12.0,0.0006957773740646069
0.018650304726003084,0.01666509464037394,0.020635514811632227,closer_mode,1.0,0.0010097132329705371
0.05153252524772469,0.046197890858386305,0.056867159637063076,closer_mode,2.0,0.0027064095791678395
0.01224618569072926,0.010482608375305227,0.014009763006153293,closer_mode,3.0,0.0008949393615666547
0.012202691247590778,0.011678630679379945,0.01272675181580161,closer_mode,7.0,0.000267197400881049
0.009544668672672802,0.009064580244347085,0.010024757100998519,closer_mode,8.0,0.0002447553121170969
0.018261340690415295,0.017440835607631194,0.019081845773199397,closer_mode,9.0,0.0004183353801876084
0.016620971447704157,0.015254570588126772,0.017987372307281542,closer_mode,12.0,0.0006957773740646069
0.0201674935298424,0.0177866699834377,0.0225483170762471,CrowdNormal_Crowd_Mean,1.0,0.0012109292903430024
0.020429963195385526,0.017999573688360176,0.022860352702410876,CrowdNormal_Crowd_Median,1.0,0.0012361394213542527
0.023176591786098228,0.020726014191446443,0.025627169380750013,CrowdUniform_Crowd_Mean,1.0,0.0012464074425437182
0.02227231701350404,0.01981003996294131,0.02473459406406677,CrowdUniform_Crowd_Median,1.0,0.0012523579943454404
0.023366430389022922,0.020964294304479592,0.025768566473566252,Market6MNormal_Market6M_Mean,1.0,0.001221769227104629
0.022079748295565475,0.019654993088023726,0.024504503503107223,Market6MNormal_Market6M_Median,1.0,0.001233273716213878
0.020443954530980153,0.01819736642754639,0.022690542634413915,deGrootModel,1.0,0.0011426547515006992
0.02051526950604582,0.01826212939777575,0.02276840961431589,Market6MUniform_Market6M_Mean,1.0,0.0011459872179401948
0.020216911442061322,0.017972458506795415,0.02246136437732723,Market6MUniform_Market6M_Median,1.0,0.0011415687669143286
0.024685764895025344,0.02228236140953117,0.02708916838051952,conjugateCrowdMarket6MPredicted_Mean,1.0,0.0012224138498177666
0.021723198427481265,0.01934866432854825,0.02409773252641428,conjugateCrowdMarket6MPredicted_Median,1.0,0.0012077303652588485
0.02254916251897618,0.020150358291017148,0.02494796674693521,Market6MNormal_Market6MPredicted_Mean,1.0,0.0012200745854604625
0.021388187165968103,0.01896673964841238,0.023809634683523827,Market6MNormal_Market6MPredicted_Median,1.0,0.001231591366132328
0.01997261409546252,0.01774201424558271,0.022203213945342328,Market6MUniform_Market6MPredicted_Mean,1.0,0.0011345228407762995
0.019806391274064947,0.01758138728074924,0.022031395267380655,Market6MUniform_Market6MPredicted_Median,1.0,0.0011316766883899705
0.05248485720172382,0.04634458742792995,0.058625126975517694,CrowdNormal_Crowd_Mean,2.0,0.003115130995234236
0.05216487942266833,0.0461158843417913,0.05821387450354536,CrowdNormal_Crowd_Median,2.0,0.0030688247846831548
0.05355535203375652,0.04742619315081532,0.05968451091669772,CrowdUniform_Crowd_Mean,2.0,0.0031094941288171397
0.05177659451803253,0.04584638413520511,0.05770680490085995,CrowdUniform_Crowd_Median,2.0,0.003008561977300795
0.1010821455601897,0.09191362683163118,0.11025066428874822,Market6MNormal_Market6M_Mean,2.0,0.004651446585232237
0.07862628476018875,0.0701797753575937,0.0870727941627838,Market6MNormal_Market6M_Median,2.0,0.004285151013048068
0.05321045517099733,0.04715425579891672,0.059266654543077946,deGrootModel,2.0,0.003072479723578961
0.06346673894340851,0.0563959358415289,0.07053754204528812,Market6MUniform_Market6M_Mean,2.0,0.003587216639547437
0.05642827729493967,0.049809974663380774,0.06304657992649856,Market6MUniform_Market6M_Median,2.0,0.003357650465359105
0.1034404591939952,0.09415957572353569,0.1127213426644547,conjugateCrowdMarket6MPredicted_Mean,2.0,0.004708452368880568
0.11603177763073569,0.1064489288483113,0.12561462641316007,conjugateCrowdMarket6MPredicted_Median,2.0,0.004861647837067007
0.08704946676582254,0.07830536413082448,0.0957935694008206,Market6MNormal_Market6MPredicted_Mean,2.0,0.004436128402703993
0.07448285607979216,0.06613513185464226,0.08283058030494206,Market6MNormal_Market6MPredicted_Median,2.0,0.004235034523143592
