,mit_user_id,target_price,created_on,,closed_price,round_id,is_influenced,mit_course_id,accuracy,is_revised,is_suggested,is_noop,confidence,gs_user_name,,CrowdMean,CrowdMedian,Market6MMean,Market6MMedian,median,mode_11,mode_21,mode_22,post_social,unimodal,pre,Market6MNormal_Market6M_Mean,Market6MNormal_Market6M_Mode,CrowdNormal_Crowd_Mean,CrowdNormal_Crowd_Mode,Market6MUniform_Market6M_Mean,Market6MUniform_Market6M_Mode,CrowdUniform_Crowd_Mean,CrowdUniform_Crowd_Mode,deGrootModel,conjugateCrowdMarket6MPredicted_Mean,conjugateCrowdMarket6MPredicted_Median,Market6MNormal_Market6MPredicted_Mode,Market6MNormal_Market6MPredicted_Mean,Market6MUniform_Market6MPredicted_Mode,Market6MUniform_Market6MPredicted_Mean
0,1642,2158.7,10/10/16,17:05.8,2129.08,5,FALSE,2,0.65853515,FALSE,FALSE,FALSE,7,9/21/16,37:56.2,2158.7,2158.7,2120.805,2126.395,,2158.7,2158.7,2158.7,FALSE,FALSE,2151,,,,,,,,,,,,,,,
1,1642,2158.7,10/10/16,17:11.8,2126.41,5,FALSE,2,0.65853515,FALSE,FALSE,TRUE,0,9/21/16,37:56.2,0,0,0,0,0,0,0,0,TRUE,FALSE,2158.7,2147.31456,2161.2,,,2161.26473,2164.69,,,2158.7,2143.253122,2146.057349,2166.859744,2150.604827,2171.836118,2166.975652
2,1642,2158.7,10/10/16,17:14.8,2126.41,5,FALSE,2,0.65853515,FALSE,FALSE,TRUE,0,9/21/16,37:56.2,0,0,0,0,0,0,0,0,TRUE,FALSE,2158.7,2147.31456,2161.2,,,2161.26473,2164.69,,,2158.7,2143.253122,2146.057349,2166.859744,2150.604827,2171.836118,2166.975652
3,1208,2103,10/10/16,21:46.5,2168.6,5,FALSE,2,0.908334045,FALSE,FALSE,FALSE,7,9/17/16,26:42.3,2144.775,2158.7,2120.805,2126.395,,2144.775,2158.7,2158.7,FALSE,FALSE,2149.19,2142.043867,2157.03,,,2157.650759,2163.79,,,2156.3225,2138.498122,2141.302349,2158.231354,2144.829989,2168.87638,2158.010064
4,1208,2123,10/10/16,22:30.6,2139.15,5,TRUE,2,6.235806452,FALSE,FALSE,FALSE,8,9/17/16,26:42.3,0,0,0,0,0,0,0,0,TRUE,FALSE,2103,2110.05772,2099.13,2112.607912,2103,2130.380325,2139.12,2144.775,2158.7,2136.42,2115.403122,2118.207349,2103.882527,2112.086142,2143.783816,2134.889827
5,1734,2140,10/10/16,51:02.1,2167.98,5,FALSE,2,1.56468727,FALSE,FALSE,FALSE,5,9/27/16,20:05.5,2140.35,2149.35,2120.805,2126.395,,2140.35,2113,2113,FALSE,FALSE,2140,2136.34165,2150.49,2145.326454,2158.7,2149.606813,2161.2,2149.775,2158.7,2140.35,2133.903122,2136.707349,2146.221838,2138.704827,2166.167466,2152.357844
6,1800,2026,10/10/16,51:26.6,2139.6,5,FALSE,2,0.211772732,FALSE,FALSE,FALSE,7,9/27/16,03:40.5,2124.014286,2140,2120.805,2126.395,,2124.014286,2140.35,2140.35,FALSE,FALSE,2160,2147.982416,2161.74,2153.20152,2158.7,2161.26473,2165.17,2154.025,2158.7,2143.157143,2143.903122,2146.707349,2166.859744,2151.344035,2171.836118,2166.975652
7,1734,2150,10/10/16,51:33.6,2126.41,5,TRUE,2,0.901403137,FALSE,FALSE,FALSE,3,9/27/16,20:05.5,0,0,0,0,0,0,0,0,TRUE,FALSE,2140,2136.34165,2150.49,2140.923711,2158.7,2149.606813,2161.2,2140.35,2140,2126.0125,2133.903122,2136.707349,2146.221838,2138.704827,2166.167466,2152.357844
8,1800,2026,10/10/16,51:45.6,2126.41,5,FALSE,2,0.211772732,FALSE,FALSE,TRUE,0,9/27/16,03:40.5,0,0,0,0,0,0,0,0,TRUE,FALSE,2026,2070.515444,2066.66,2048.697193,2026,2120.805,2127.02,2127.2625,2140,2116.011111,2076.903122,2079.707349,2072.95075,2075.047811,2134.041761,2127.806244
9,1737,2188.12,10/10/16,56:37.2,2132.98,5,FALSE,2,0.344581105,FALSE,FALSE,FALSE,6,9/27/16,31:19.6,2123.222,2145,2120.805,2126.395,,2123.222,2147.5275,2147.5275,FALSE,FALSE,2100,2107.935009,2098.86,2122.373612,2140,2129.750806,2139.12,2141.728571,2150,2114.41,2113.903122,2116.707349,2102.066552,2110.040145,2139.590017,2131.810708
