,mit_user_id,target_price,created_on,,closed_price,round_id,is_influenced,mit_course_id,accuracy,is_revised,is_suggested,is_noop,confidence,is_noop2,gs_user_name,,CrowdMean,CrowdMedian,Market6MMean,Market6MMedian,median,mode_11,mode_21,mode_22,post_social,unimodal,pre,Market6MNormal_Market6M_Mean,Market6MNormal_Market6M_Mode,CrowdNormal_Crowd_Mean,CrowdNormal_Crowd_Mode,Market6MUniform_Market6M_Mean,Market6MUniform_Market6M_Mode,CrowdUniform_Crowd_Mean,CrowdUniform_Crowd_Mode,deGrootModel,conjugateCrowdMarket6MPredicted_Mean,conjugateCrowdMarket6MPredicted_Median,Market6MNormal_Market6MPredicted_Mode,Market6MNormal_Market6MPredicted_Mean,Market6MUniform_Market6MPredicted_Mode,Market6MUniform_Market6MPredicted_Mean
15,1875,2140,10/31/16,45:30.5,2164.45,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,10/4/16,18:46.3,2108.125,2123.5,2129.540365,2139.56,,2108.125,2000,2000,FALSE,FALSE,2208,2164.976787,2169.04,2127.919553,2130,2174.231064,2173.02,,,2112.375,2175.805964,2180.848886,2181.208362,2176.319646,2184.399309,2184.667067
16,1566,2125,11/1/16,53:00.9,2164.45,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,9/20/16,35:33.6,2109.117647,2125,2129.540365,2139.56,,2109.117647,2123.666667,2123.666667,FALSE,FALSE,2157,2150.143909,2159.93,2126.786908,2130,2157.914111,2163.26,2128.5,2125,2111,2150.305964,2155.348886,2165.344223,2157.742262,2175.047923,2167.132223
17,1306,2175,11/1/16,49:47.0,2164.2,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/18/16,11:52.0,2112.777778,2125,2129.540365,2139.56,,2112.777778,2126.875,2126.875,FALSE,FALSE,2198.7,2163.072209,2167.48,2129.006139,2130,2172.375926,2170.95,,,2114.094444,2171.155964,2176.198886,2178.993825,2173.941336,2182.597481,2181.824346
18,1198,2129.25,11/1/16,04:11.9,2202.94,6,FALSE,2,,FALSE,FALSE,FALSE,8,FALSE,9/16/16,39:51.0,2113.644737,2125,2129.540365,2139.56,,2113.644737,2127.014706,2127.014706,FALSE,FALSE,2185,2159.723881,2164.69,2134.92187,2130,2167.922273,2168.48,2175,2175,2116.578947,2164.305964,2169.348886,2178.047614,2169.730843,2178.077812,2174.586067
19,1454,2180,11/1/16,53:01.4,2085.18,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/20/16,40:14.5,2116.9625,2125,2129.540365,2139.56,,2116.9625,2129.958333,2129.958333,FALSE,FALSE,2100,2115.896278,2113.32,2122.294341,2125,2137.217381,2144.29,2127.014706,2125,2112.9625,2121.805964,2126.848886,2113.000618,2119.605659,2153.899093,2146.670211
20,1738,2135,11/1/16,45:20.3,2197.66,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,9/27/16,42:42.8,2117.821429,2125,2129.540365,2139.56,,2117.821429,2130.223684,2130.223684,FALSE,FALSE,2235,2169.274589,2171.37,2155.186802,2175,2190.15,2190.15,,,2122.583333,2189.305964,2194.348886,2185.184463,2181.597829,2197.062435,2197.260048
21,1394,2138.79,11/1/16,53:56.9,2111.72,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,9/19/16,44:06.9,2118.774545,2127.125,2129.540365,2139.56,,2118.774545,2130.652,2130.652,FALSE,FALSE,2210,2165.353305,2169.04,2147.324711,2135,2176.687105,2176.12,2177.5,2175,2122.011364,2176.805964,2181.848886,2181.802261,2176.787546,2184.399309,2185.005492
22,1629,2050,11/1/16,21:14.6,2131.52,6,FALSE,2,,FALSE,FALSE,FALSE,7,FALSE,9/20/16,41:30.4,2115.784348,2125,2129.540365,2139.56,,2115.784348,2016.666667,2016.666667,FALSE,FALSE,2219,2166.920672,2170.84,2150.323427,2140,2181.811364,2181.74,2180,2180,2123.132174,2181.305964,2186.348886,2182.808869,2178.725192,2185.717965,2187.546241
23,1320,2140,11/1/16,37:50.8,2097.94,6,FALSE,2,,FALSE,FALSE,FALSE,9,FALSE,9/19/16,51:33.9,2116.793333,2127.125,2129.540365,2139.56,,2116.793333,2131.097143,2131.097143,FALSE,FALSE,2208,2164.976787,2169.04,2145.712308,2138.79,2174.231064,2173.02,2177.5,2175,2119.626667,2175.805964,2180.848886,2181.208362,2176.319646,2184.399309,2184.667067
24,1619,2151.26,11/1/16,57:29.5,2085.18,6,FALSE,2,,FALSE,FALSE,FALSE,2,FALSE,9/20/16,40:59.4,2118.172,2129.25,2129.540365,2139.56,,2118.172,2016.666667,2016.666667,FALSE,FALSE,2150,2147.023936,2153.74,2132.720651,2130,2156.329677,2163.12,2135.002105,2130,2118.1216,2146.805964,2151.848886,2157.321559,2153.922,2174.001051,2164.955262
25,1539,2100,11/1/16,15:06.1,2126.15,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/20/16,20:19.7,2117.473077,2127.125,2129.540365,2139.56,,2117.473077,2130.621739,2130.621739,FALSE,FALSE,2222,2167.400963,2170.84,2150.312902,2140,2183.209444,2182.64,2180,2180,2122.165385,2182.805964,2187.848886,2183.372569,2179.315266,2187.378868,2188.597934
26,1539,2100,11/1/16,16:21.7,2191.95,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/20/16,20:19.7,2116.825926,2125,2129.540365,2139.56,,2116.825926,2129.345833,2129.345833,FALSE,FALSE,2100,2115.896278,2113.32,2122.076784,2125,2137.217381,2144.29,2130.621739,2130,2116.825926,2121.805964,2126.848886,2113.000618,2119.605659,2153.899093,2146.670211
27,1455,2050,11/1/16,54:23.7,2139.56,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,9/20/16,45:55.6,2114.439286,2125,2129.540365,2139.56,,2114.439286,2129.345833,2129.345833,FALSE,FALSE,2190,2161.029585,2166.58,2141.733896,2138.79,2169.563226,2169.18,2168.753333,2175,2119.439286,2166.805964,2171.848886,2178.087878,2171.375436,2178.752239,2177.10994
28,1800,2178,11/1/16,13:59.8,2131.52,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,9/27/16,03:40.5,2116.631034,2125,2129.540365,2139.56,,2116.631034,2131.292,2131.292,FALSE,FALSE,2220,2167.082962,2170.84,2149.407817,2140,2182.134286,2182.22,2180,2180,2118.07931,2181.805964,2186.848886,2182.808869,2178.924786,2186.825234,2188.073633
29,1716,2148,11/1/16,27:29.3,2198.18,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/26/16,54:52.0,2117.676667,2127.125,2129.540365,2139.56,,2117.676667,2131.934615,2131.934615,FALSE,FALSE,2190,2161.029585,2166.58,2144.071565,2138.79,2169.563226,2169.18,2171.065,2175,2119.076667,2166.805964,2171.848886,2178.087878,2171.375436,2178.752239,2177.10994
30,1482,2050.7,11/1/16,49:23.2,2141.11,6,FALSE,2,,FALSE,FALSE,FALSE,7,FALSE,9/20/16,42:16.6,2115.516129,2125,2129.540365,2139.56,,2115.516129,2131.934615,2131.934615,FALSE,FALSE,2150,2147.023936,2153.74,2134.208625,2130,2156.329677,2163.12,2138.286364,2130,2118.719355,2146.805964,2151.848886,2157.321559,2153.922,2174.001051,2164.955262
