,mit_user_id,target_price,created_on,,closed_price,round_id,is_influenced,mit_course_id,accuracy,is_revised,is_suggested,is_noop,confidence,gs_user_name,,CrowdMean,CrowdMedian,Market6MMean,Market6MMedian,median,mode_11,mode_21,mode_22,post_social,unimodal,pre,Market6MNormal_Market6M_Mean,Market6MNormal_Market6M_Mode,CrowdNormal_Crowd_Mean,CrowdNormal_Crowd_Mode,Market6MUniform_Market6M_Mean,Market6MUniform_Market6M_Mode,CrowdUniform_Crowd_Mean,CrowdUniform_Crowd_Mode,deGrootModel,conjugateCrowdMarket6MPredicted_Mean,conjugateCrowdMarket6MPredicted_Median,Market6MNormal_Market6MPredicted_Mode,Market6MNormal_Market6MPredicted_Mean,Market6MUniform_Market6MPredicted_Mode,Market6MUniform_Market6MPredicted_Mean
0,13,2150,6/8/16,12:10.8,,1,FALSE,1,0.180958344,FALSE,FALSE,FALSE,1,6/8/16,12:09.6,2150,2150,2010.685197,2041.99,,2150,2150,2150,FALSE,FALSE,2065,,,,,,,,,,,,,,,
1,14,1975,6/8/16,31:11.5,2112.13,1,FALSE,1,0.326455696,FALSE,FALSE,FALSE,1,6/8/16,31:10.1,2062.5,2062.5,2010.685197,2041.99,,2062.5,2062.5,2062.5,FALSE,FALSE,1854,1912.5942,1903.63,,,2010.685197,2041.99,,,2002,1935.305083,1951.003608,1909.239505,1915.358111,2048.007216,2016.610165
2,14,1975,6/8/16,31:58.1,2071.5,1,FALSE,1,0.326455696,FALSE,FALSE,FALSE,1,6/8/16,31:10.1,2033.333333,1975,2010.685197,2041.99,,2033.333333,2033.333333,2033.333333,FALSE,FALSE,1975,2003.033104,2021.15,1995.860511,1975,2029.431875,2047.62,2062.5,1975,2033.333333,1995.805083,2011.503608,2022.652722,2004.317444,2053.653806,2034.224065
3,15,2250,6/8/16,58:01.4,2070.66,1,FALSE,1,0.095837528,FALSE,FALSE,FALSE,1,6/8/16,57:25.6,2087.5,2062.5,2010.685197,2041.99,,2087.5,2200,2200,FALSE,FALSE,2070,2050.759051,2056.5,2041.057689,1975,2058.671071,2058.69,2150,2150,2042.5,2043.305083,2059.003608,2061.065582,2055.125546,2063.201859,2062.399732
4,16,2150,6/8/16,28:11.0,2118.13,1,FALSE,1,0.180958344,FALSE,FALSE,FALSE,1,6/8/16,28:10.5,2100,2150,2010.685197,2041.99,,2100,2183.333333,2183.333333,FALSE,FALSE,2099.75,2057.835263,2063.36,2087.765444,2150,2065.45863,2063.59,2200,2150,2089.95,2058.180083,2073.878608,2067.795355,2062.68677,2069.440187,2069.24064
5,16,2125,6/8/16,29:49.2,,1,FALSE,1,0.232607604,FALSE,FALSE,FALSE,1,6/8/16,28:10.5,2104.166667,2137.5,2010.685197,2041.99,,2104.166667,2168.75,2168.75,FALSE,FALSE,2150,2066.096825,2066.13,2140.696806,2150,2088.635385,2090.54,2183.333333,2150,2108.333333,2083.305083,2099.003608,2071.385904,2071.394562,2096.258983,2093.664575
6,17,2114.16,6/8/16,51:58.5,2116.2,1,FALSE,1,0.265460586,FALSE,FALSE,FALSE,1,6/8/16,51:58.0,2105.594286,2125,2010.685197,2041.99,,2105.594286,1975,1975,FALSE,FALSE,2050,2044.484291,2051.6,2075.193328,2125,2053.130989,2055.01,2104.166667,2125,2096.428571,2033.305083,2049.003608,2056.672675,2048.380087,2061.065582,2059.181034
7,18,2120.2,6/8/16,53:28.7,2083.25,1,FALSE,1,0.246093731,FALSE,FALSE,FALSE,1,6/8/16,53:28.0,2107.42,2122.6,2010.685197,2041.99,,2107.42,2151.56,2151.56,FALSE,FALSE,2075.89,2052.346427,2058.69,2098.874792,2125,2059.378072,2059.74,2157.832,2150,2101.88125,2046.250083,2061.948608,2062.559973,2056.827478,2064.756426,2064.737442
8,17,2100,6/8/16,53:44.9,2113.87,1,FALSE,1,0.325516856,FALSE,FALSE,FALSE,1,6/8/16,51:58.0,2106.595556,2120.2,2010.685197,2041.99,,2106.595556,2144.194286,2144.194286,FALSE,FALSE,2114.16,2060.571005,2063.95,2122.303598,2125,2067.685147,2064.11,2151.56,2125,2108.168889,2065.385083,2081.083608,2069.670865,2065.587231,2069.670865,2072.077659
9,19,2115,6/8/16,57:34.4,2098.61,1,FALSE,1,0.262586674,FALSE,FALSE,FALSE,1,6/8/16,57:34.0,2107.436,2117.6,2010.685197,2041.99,,2107.436,2140.545,2140.545,FALSE,FALSE,2080,2053.393866,2058.69,2104.930952,2120.2,2060.080732,2059.74,2144.194286,2125,2103.936,2048.305083,2064.003608,2063.201859,2057.948972,2064.756426,2064.737442
10,17,2100,6/8/16,26:38.3,2096.07,1,FALSE,1,0.325516856,FALSE,FALSE,FALSE,1,6/8/16,51:58.0,2106.76,2115,2010.685197,2041.99,,2106.76,2136.04,2136.04,FALSE,FALSE,2100,2057.885967,2063.36,2115.049524,2120.2,2065.45863,2063.59,2140.545,2125,2106.76,2058.305083,2074.003608,2067.795355,2062.740664,2069.440187,2069.24064
11,20,2160,6/8/16,49:26.3,2066.16,1,FALSE,1,0.16619708,FALSE,FALSE,FALSE,1,6/8/16,49:18.9,2111.196667,2117.6,2010.685197,2041.99,,2111.196667,2138.436,2138.436,FALSE,FALSE,2044.62,2042.525807,2050.63,2087.105606,2114.16,2053.130989,2055.01,2106.76,2115,2101.581667,2030.615083,2046.313608,2055.84023,2046.271936,2061.065582,2059.181034
12,21,2120,6/8/16,04:02.9,2079.48,1,FALSE,1,0.246689672,FALSE,FALSE,FALSE,1,6/8/16,04:02.1,2111.873846,2120,2010.685197,2041.99,,2111.873846,2136.76,2136.76,FALSE,FALSE,2080,2053.393866,2058.69,2110.273585,2115,2060.080732,2059.74,2138.436,2120.2,2108.796923,2048.305083,2064.003608,2063.201859,2057.948972,2064.756426,2064.737442
13,22,2078,6/8/16,29:36.4,2092.25,1,FALSE,1,0.501948756,FALSE,FALSE,FALSE,1,6/8/16,29:36.2,2109.454286,2117.5,2010.685197,2041.99,,2109.454286,2131.863333,2131.863333,FALSE,FALSE,2030,2036.517234,2048.04,2080.301175,2114.16,2053.130989,2055.01,2111.873846,2120,2106.025714,2023.305083,2039.003608,2053.663835,2039.806878,2061.065582,2058.075275
14,23,2123,6/8/16,38:38.8,2070.66,1,FALSE,1,0.238042996,FALSE,FALSE,FALSE,1,6/8/16,38:37.5,2110.357333,2120,2010.685197,2041.99,,2110.357333,2131.181538,2131.181538,FALSE,FALSE,2065,2049.32537,2055.01,2101.721452,2114.16,2057.116628,2057.14,2131.863333,2120,2106.490667,2040.805083,2056.503608,2058.367655,2053.586391,2062.559973,2060.856203
15,24,2120.37,6/8/16,34:25.3,2077.99,1,FALSE,1,0.245589441,FALSE,FALSE,FALSE,1,6/8/16,34:24.4,2110.983125,2120.1,2010.685197,2041.99,,2110.983125,2130.409286,2130.409286,FALSE,FALSE,2099,2057.682406,2063.36,2115.400277,2120,2065.45863,2063.59,2131.181538,2120.2,2109.6475,2057.805083,2073.503608,2067.795355,2062.524267,2069.440187,2069.24064
16,25,2118.3,6/8/16,01:42.1,,1,FALSE,1,0.25187415,FALSE,FALSE,FALSE,1,6/8/16,01:41.6,2111.413529,2120,2010.685197,2041.99,,2111.413529,2129.602,2129.602,FALSE,FALSE,2100,2057.885967,2063.36,2116.188532,2120,2065.45863,2063.59,2130.409286,2120.37,2110.337059,2058.305083,2074.003608,2067.795355,2062.740664,2069.440187,2069.24064
17,26,2015,6/8/16,01:51.6,2093.29,1,FALSE,1,0.909152164,FALSE,FALSE,FALSE,1,6/8/16,01:50.7,2106.057222,2119.15,2010.685197,2041.99,,2106.057222,2129.602,2129.602,FALSE,FALSE,2088,2055.303454,2060.99,2113.540772,2120,2061.97519,2061.72,2129.602,2120.2,2110.112778,2052.305083,2068.003608,2065.80952,2059.989827,2067.063204,2066.826459
18,10,2345,6/8/16,11:28.8,2099.86,1,FALSE,1,0.066237849,FALSE,FALSE,FALSE,1,6/6/16,50:33.9,2118.633158,2120,2010.685197,2041.99,,2118.633158,2297.5,2297.5,FALSE,FALSE,2105,2058.874824,2063.37,2114.656922,2120,2065.989722,2063.59,2129.602,2120.2,2106.001579,2060.805083,2076.503608,2069.440187,2063.79073,2069.670865,2071.545002
19,27,2092,6/8/16,26:30.8,2077.99,1,FALSE,1,0.37322037,FALSE,FALSE,FALSE,1,6/8/16,23:37.2,2117.3015,2119.15,2010.685197,2041.99,,2117.3015,2097.279444,2097.279444,FALSE,FALSE,2145,2065.41188,2065.3,2122.621034,2120.2,2087.513214,2090.1,2143.064375,2120.2,2119.9515,2080.805083,2096.503608,2071.385904,2070.678617,2088.556352,2089.783192
20,28,2080,6/8/16,43:34.5,2092.25,1,FALSE,1,0.478377553,FALSE,FALSE,FALSE,1,6/8/16,43:34.2,2115.525238,2118.3,2010.685197,2041.99,,2115.525238,2096.37,2096.37,FALSE,FALSE,2085,2054.606415,2059.74,2105.800216,2118.3,2060.753951,2060.99,2133.112778,2120,2115.763333,2050.805083,2066.503608,2064.756426,2059.245479,2065.80952,2066.151256
21,29,2350,6/8/16,03:40.5,2083.25,1,FALSE,1,0.065178349,FALSE,FALSE,FALSE,1,6/8/16,03:40.3,2126.183182,2119.15,2010.685197,2041.99,,2126.183182,2096.37,2096.37,FALSE,FALSE,2081,2053.641649,2059.74,2103.050058,2115,2060.753951,2060.99,2130.317368,2120,2113.955909,2048.805083,2064.503608,2063.201859,2058.214073,2065.80952,2065.446526
22,30,2090.15,6/8/16,17:29.5,2079.06,1,FALSE,1,0.386312097,FALSE,FALSE,FALSE,1,6/8/16,17:28.8,2124.616522,2118.3,2010.685197,2041.99,,2124.616522,2096.059,2096.059,FALSE,FALSE,2050,2044.484291,2051.6,2093.849065,2114.16,2053.130989,2055.01,2126.183182,2120,2122.87087,2033.305083,2049.003608,2056.672675,2048.380087,2061.065582,2059.181034
23,31,2200,6/8/16,50:52.2,,1,FALSE,1,0.125309675,FALSE,FALSE,FALSE,1,6/8/16,50:51.9,2127.7575,2119.15,2010.685197,2041.99,,2127.7575,2286.25,2286.25,FALSE,FALSE,2044,2042.291854,2050.63,2091.501534,2100,2053.130989,2055.01,2124.616522,2118.3,2121.2575,2030.305083,2046.003608,2055.84023,2046.020091,2061.065582,2059.181034
24,2,2110.75,6/8/16,11:23.6,2096.07,1,FALSE,1,0.277803382,FALSE,FALSE,FALSE,1,6/4/16,09:08.0,2127.0772,2118.3,2010.685197,2041.99,,2127.0772,2096.758571,2096.758571,FALSE,FALSE,2100,2057.885967,2063.36,2109.717864,2115,2065.45863,2063.59,2141.644545,2120.2,2126.6472,2058.305083,2074.003608,2067.795355,2062.740664,2069.440187,2069.24064
