,mit_user_id,target_price,created_on,,closed_price,round_id,is_influenced,mit_course_id,accuracy,is_revised,is_suggested,is_noop,confidence,gs_user_name,,CrowdMean,CrowdMedian,Market6MMean,Market6MMedian,median,mode_11,mode_21,mode_22,post_social,unimodal,pre,Market6MNormal_Market6M_Mean,Market6MNormal_Market6M_Mode,CrowdNormal_Crowd_Mean,CrowdNormal_Crowd_Mode,Market6MUniform_Market6M_Mean,Market6MUniform_Market6M_Mode,CrowdUniform_Crowd_Mean,CrowdUniform_Crowd_Mode,deGrootModel,conjugateCrowdMarket6MPredicted_Mean,conjugateCrowdMarket6MPredicted_Median,Market6MNormal_Market6MPredicted_Mode,Market6MNormal_Market6MPredicted_Mean,Market6MUniform_Market6MPredicted_Mode,Market6MUniform_Market6MPredicted_Mean
14,1133,2150,9/14/16,10:10.6,2168.36,4,FALSE,2,5.758663102,FALSE,FALSE,FALSE,3,9/14/16,10:10.5,2121.95,2134,2101.467842,2091.7,,2121.95,2149.555556,2149.555556,FALSE,FALSE,2130,2118.161987,2109.41,2126.128406,2134,2134.637222,2137.16,2140.6,2134,2120.616667,2128.162778,2123.221087,2116.442173,2126.210019,2127.825246,2145.156698
15,1134,2125,9/14/16,21:15.0,2164.69,4,FALSE,2,0.749387613,FALSE,FALSE,FALSE,8,9/14/16,21:14.4,2122.140625,2129.5,2101.467842,2091.7,,2122.140625,2147.1,2147.1,FALSE,FALSE,2200,2156.673341,2170.06,2160.547207,2150,2173.068636,2173.6,2187.5,2180,2126.828125,2163.162778,2158.221087,2190.78123,2171.409252,2196.538536,2192.711443
16,1135,2164,9/15/16,31:00.9,2153.74,4,FALSE,2,2.099161793,FALSE,FALSE,FALSE,8,9/15/16,31:00.6,2124.602941,2134,2101.467842,2091.7,,2124.602941,2148.636364,2148.636364,FALSE,FALSE,2200,2156.673341,2170.06,2160.413457,2150,2173.068636,2173.6,2187.5,2180,2126.720588,2163.162778,2158.221087,2190.78123,2171.409252,2196.538536,2192.711443
17,1136,2065,9/15/16,02:18.4,2164.69,4,FALSE,2,0.242702276,FALSE,FALSE,FALSE,7,9/15/16,02:18.0,2121.291667,2129.5,2101.467842,2091.7,,2121.291667,2078.321429,2078.321429,FALSE,FALSE,2170,2143.202693,2163.79,2148.110671,2150,2165.089811,2170.84,2153.888889,2150,2127.125,2148.162778,2143.221087,2155.094031,2153.512744,2187.310658,2169.254114
18,1137,2035,9/15/16,22:33.0,2146.1,4,FALSE,2,0.181382853,FALSE,FALSE,FALSE,7,9/15/16,22:32.0,2116.75,2125,2101.467842,2091.7,,2116.75,2067.607143,2067.607143,FALSE,FALSE,2160.2,2137.675605,2159.04,2142.98758,2139,2161.044035,2169.18,2148.636364,2139,2123.339474,2143.262778,2138.321087,2140.50346,2146.88679,2177.597102,2163.401621
19,1138,2127,9/15/16,09:46.1,2164.69,4,FALSE,2,0.805437547,FALSE,FALSE,FALSE,7,9/15/16,09:45.8,2117.2625,2126,2101.467842,2091.7,,2117.2625,2144,2144,FALSE,FALSE,2167.5,2141.8422,2163.78,2144.338027,2139,2164.109074,2170.84,2148.636364,2139,2119.2875,2146.912778,2141.971087,2152.979309,2151.845339,2184.57872,2168.495962
20,1139,2350,9/15/16,19:30.0,2125.77,4,FALSE,2,0.109739122,FALSE,FALSE,FALSE,8,9/15/16,19:29.8,2128.345238,2127,2101.467842,2091.7,,2128.345238,2117.2625,2117.2625,FALSE,FALSE,2045,2068.641567,2066.13,2075.747869,2069,2103.199416,2094.34,2117.2625,2125,2113.821429,2085.662778,2080.721087,2081.473372,2082.459138,2116.442173,2126.325556
21,1140,2172,9/15/16,30:53.7,2164.7,4,FALSE,2,1.179485214,FALSE,FALSE,FALSE,7,9/15/16,30:53.2,2130.329545,2130.5,2101.467842,2091.7,,2130.329545,2119.869048,2119.869048,FALSE,FALSE,2155,2134.544455,2152.43,2130.941071,2134,2153.488,2166.58,2154.8,2139,2129.556818,2140.662778,2135.721087,2134.36166,2143.300387,2164.463565,2160.590535
22,1141,2173.45,9/15/16,51:22.4,2163.12,4,FALSE,2,1.092714358,FALSE,FALSE,FALSE,6,9/15/16,51:22.0,2132.204348,2134,2101.467842,2091.7,,2132.204348,2122.304545,2122.304545,FALSE,FALSE,2159.35,2137.172601,2159.04,2134.97031,2134,2160.032931,2169.18,2155.875,2139,2131.591304,2142.837778,2137.896087,2138.31791,2146.302781,2172.659378,2162.694277
23,1139,2300,9/15/16,08:32.4,2147.26,4,FALSE,2,0.147254205,FALSE,FALSE,FALSE,8,9/15/16,19:29.8,2139.195833,2134,2101.467842,2091.7,,2139.195833,2122.304545,2122.304545,FALSE,FALSE,2350,2177.024651,2180.89,2325.850133,2350,,,2350,2350,2141.279167,2238.162778,2233.221087,2206.171146,2201.709927,,
24,1142,2171,9/15/16,48:14.4,2169.66,4,FALSE,2,1.247821553,FALSE,FALSE,FALSE,7,9/15/16,48:14.3,2140.468,2134,2101.467842,2091.7,,2140.468,2325,2325,FALSE,FALSE,2200,2156.673341,2170.06,2151.050198,2150,2173.068636,2173.6,2183.111538,2164,2141.628,2163.162778,2158.221087,2190.78123,2171.409252,2196.538536,2192.711443
25,1143,2300,9/15/16,39:23.6,2134.35,4,FALSE,2,0.147254205,FALSE,FALSE,FALSE,7,9/15/16,37:52.8,2146.603846,2136.5,2101.467842,2091.7,,2146.603846,2124.421739,2124.421739,FALSE,FALSE,2173,2144.788424,2164.25,2143.249514,2139,2166.085385,2170.86,2168.802778,2150,2141.719231,2149.662778,2144.721087,2164.463565,2155.487308,2189.374789,2173.098961
26,1143,2230,9/15/16,44:11.5,2153.74,4,FALSE,2,0.282420666,FALSE,FALSE,FALSE,7,9/15/16,37:52.8,2149.692593,2139,2101.467842,2091.7,,2149.692593,2124.421739,2124.421739,FALSE,FALSE,2300,2174.378172,2178.15,2243.036082,2300,,,2316.666667,2300,2152.285185,2213.162778,2208.221087,2201.860755,2198.036815,,
27,1144,2000,9/15/16,43:55.0,2174.47,4,FALSE,2,0.140089762,FALSE,FALSE,FALSE,9,9/15/16,43:54.6,2144.346429,2136.5,2101.467842,2091.7,,2144.346429,2119.2375,2119.2375,FALSE,FALSE,2200,2156.673341,2170.06,2159.813511,2150,2173.068636,2173.6,2188.732353,2171,2151.489286,2163.162778,2158.221087,2190.78123,2171.409252,2196.538536,2192.711443
28,1145,2187,9/15/16,08:30.3,2153.74,4,FALSE,2,0.647546603,FALSE,FALSE,FALSE,5,9/15/16,08:29.8,2145.817241,2139,2101.467842,2091.7,,2145.817241,2121.948,2121.948,FALSE,FALSE,2175,2145.816624,2165.17,2147.621792,2139,2167.077647,2170.86,2174.688095,2150,2145.403448,2150.662778,2145.721087,2172.659378,2156.785854,2189.850348,2175.567286
29,1146,2141.95,9/15/16,28:57.8,2153.74,4,FALSE,2,1.826751484,FALSE,FALSE,FALSE,7,9/15/16,28:25.0,2145.688333,2139,2101.467842,2091.7,,2145.688333,2122.717308,2122.717308,FALSE,FALSE,2055,2073.241901,2070.77,2103.589546,2110,2105.71709,2095.15,2145.817241,2139,2142.79,2090.662778,2085.721087,2086.107547,2086.602514,2116.442173,2126.325556
30,1147,2200,9/15/16,44:53.4,2177.18,4,FALSE,2,0.465572849,FALSE,FALSE,FALSE,4,9/15/16,44:52.8,2147.440323,2139,2101.467842,2091.7,,2147.440323,2125.57963,2125.57963,FALSE,FALSE,2100,2098.127486,2091.48,2121.960502,2134,2116.365169,2100.8,2150.712069,2139,2144.214516,2113.162778,2108.221087,2105.342412,2108.013995,2122.715511,2133.774566
31,1148,2000,9/15/16,59:44.2,2177.18,4,FALSE,2,0.140089762,FALSE,FALSE,FALSE,6,9/15/16,59:43.7,2142.832813,2139,2101.467842,2091.7,,2142.832813,2097.41,2097.41,FALSE,FALSE,2186,2151.048158,2168.48,2156.25226,2150,2170.664681,2172.47,2181.245455,2164,2148.645313,2156.162778,2151.221087,2187.310658,2163.621595,2195.729073,2187.656125
32,1149,2400,9/15/16,08:55.1,2164.69,4,FALSE,2,0.087457971,FALSE,FALSE,FALSE,2,9/15/16,08:53.8,2150.625758,2139,2101.467842,2091.7,,2150.625758,2121.094643,2121.094643,FALSE,FALSE,2145,2128.202416,2129.9,2139.252128,2139,2143.894545,2161.74,2163.801852,2150,2142.898485,2135.662778,2130.721087,2124.162426,2136.37381,2144.186517,2152.404971
33,1150,2192,9/15/16,24:37.5,2163.12,4,FALSE,2,0.562922112,FALSE,FALSE,FALSE,6,9/15/16,24:37.3,2151.842647,2140.475,2101.467842,2091.7,,2151.842647,2123.539655,2123.539655,FALSE,FALSE,2138,2123.571136,2119.12,2136.457024,2139,2138.813452,2152.14,2168.539655,2150,2150.254412,2132.162778,2127.221087,2122.715511,2131.574011,2138.31791,2149.786941
