,mit_user_id,target_price,created_on,,closed_price,round_id,is_influenced,mit_course_id,accuracy,is_revised,is_suggested,is_noop,confidence,gs_user_name,,CrowdMean,CrowdMedian,Market6MMean,Market6MMedian,median,mode_11,mode_21,mode_22,post_social,unimodal,pre,Market6MNormal_Market6M_Mean,Market6MNormal_Market6M_Mode,CrowdNormal_Crowd_Mean,CrowdNormal_Crowd_Mode,Market6MUniform_Market6M_Mean,Market6MUniform_Market6M_Mode,CrowdUniform_Crowd_Mean,CrowdUniform_Crowd_Mode,deGrootModel,conjugateCrowdMarket6MPredicted_Mean,conjugateCrowdMarket6MPredicted_Median,Market6MNormal_Market6MPredicted_Mode,Market6MNormal_Market6MPredicted_Mean,Market6MUniform_Market6MPredicted_Mode,Market6MUniform_Market6MPredicted_Mean
0,10,1340,7/18/16,15:12.1,1329.03,3,FALSE,1,3.258292683,FALSE,FALSE,FALSE,1,6/6/16,50:33.9,1340,1340,1234.640741,1245.3,,1340,1340,1340,FALSE,FALSE,1351,,,,,,,,,,,,,,,
1,1010,1329,7/18/16,15:12.1,1323.24,3,FALSE,1,1.936086957,FALSE,FALSE,FALSE,1,6/28/16,16:41.8,1334.5,1334.5,1234.640741,1245.3,,1334.5,1334.5,1334.5,FALSE,FALSE,1360,1287.26715,1276.7,,,1325.427273,1324.7,,,1350,1318.367011,1323.878347,1310.610162,1315.751534,1318.469273,1331.137739
2,10,1342,7/18/16,16:17.8,1335.88,3,FALSE,1,2.19,FALSE,FALSE,FALSE,1,6/6/16,50:33.9,1337,1340,1234.640741,1245.3,,1337,1337,1337,FALSE,FALSE,1340,1280.020651,1273.5,1338.688768,1340,1305.328947,1294.1,1340,1340,1336.333333,1308.367011,1313.878347,1305.336285,1309.086421,1308.231746,1316.467314
3,741,1370,7/19/16,26:09.9,1332.14,3,FALSE,1,0.391759531,FALSE,FALSE,FALSE,1,6/16/16,24:54.4,1345.25,1341,1234.640741,1245.3,,1345.25,1337,1337,FALSE,FALSE,1311,1270.215217,1266.1,1329.00478,1329,1282.004167,1272.6,,,1330.5,1293.867011,1299.378347,1298.821495,1299.918264,1299.441951,1306.906575
4,740,1334,7/19/16,13:54.9,1362.98,3,FALSE,1,7.031052632,FALSE,FALSE,FALSE,1,6/16/16,19:53.5,1343,1340,1234.640741,1245.3,,1343,1336.25,1336.25,FALSE,FALSE,1325,1274.841069,1269.1,1335.661477,1340,1291,1276.7,1345.25,1340,1341.2,1300.867011,1306.378347,1302.440823,1304.309212,1300.476045,1308.998368
5,787,1300,7/19/16,30:19.1,1350.77,3,FALSE,1,0.372116992,FALSE,FALSE,FALSE,1,6/17/16,51:43.9,1335.833333,1337,1234.640741,1245.3,,1335.833333,1343,1343,FALSE,FALSE,1342,1280.728709,1273.5,1338.349075,1340,1305.328947,1294.1,1343,1340,1342.833333,1309.367011,1314.878347,1305.646513,1309.73527,1309.26584,1316.972187
6,210,1360.54,7/19/16,37:17.2,1317.13,3,FALSE,1,0.542167208,FALSE,FALSE,FALSE,1,6/12/16,07:34.6,1339.362857,1340,1234.640741,1245.3,,1339.362857,1365.27,1365.27,FALSE,FALSE,1352,1284.326484,1275.9,1342.879723,1340,1320.908,1322.4,1346.5,1340,1338.142857,1314.367011,1319.878347,1309.26584,1313.035472,1315.987448,1324.545271
7,44,1347.5,7/19/16,21:25.7,1321.89,3,FALSE,1,1.151637931,FALSE,FALSE,FALSE,1,6/8/16,21:15.0,1340.38,1341,1234.640741,1245.3,,1340.38,1346.148571,1346.148571,FALSE,FALSE,1367.81,1290.181975,1279.5,1354.112204,1360.54,1336.95625,1332.2,1365.27,1360.54,1342.91875,1322.272011,1327.783347,1312.368121,1318.474717,1320.227232,1335.014769
8,939,1325,7/19/16,27:45.8,1332.01,3,FALSE,1,1.22559633,FALSE,FALSE,FALSE,1,6/21/16,14:59.9,1338.671111,1340,1234.640741,1245.3,,1338.671111,1359.346667,1359.346667,FALSE,FALSE,1340,1280.020651,1273.5,1341.755802,1340,1305.328947,1294.1,1346.148571,1342,1340.337778,1308.367011,1313.878347,1305.336285,1309.086421,1308.231746,1316.467314
9,939,1300,7/19/16,29:20.0,1326.68,3,FALSE,1,0.372116992,FALSE,FALSE,FALSE,1,6/21/16,14:59.9,1334.804,1337,1234.640741,1245.3,,1334.804,1300,1300,FALSE,FALSE,1325,1274.841069,1269.1,1333.151792,1334,1291,1276.7,1343.505,1340,1337.304,1300.867011,1306.378347,1302.440823,1304.309212,1300.476045,1308.998368
